Date,Group,Time,Age,Sex,Juvenile age,EA mins,FO mins,RE mins,SO mins,TR mins,Total mins,EA Div Total,FO Div Total,RE Div Total,SO Div Total,TR Div Total
07/17/2017,A,11:34:00 AM,AM,M,,,,,,,,0,0,0,0.167,0.833
07/17/2017,A,11:46:00 AM,AM,M,,,,,,,,0,0,0.714,0,0.286
07/17/2017,A,11:53:00 AM,JV,M,J1,,,,,,,0.143,0.571,0,0,0.286
07/17/2017,A,12:02:00 PM,JV,F,J1,,,,,,,0.167,0.167,0.333,0.167,0.167
07/17/2017,A,12:15:00 PM,JV,F,J1,,,,,,,0,0.25,0.25,0,0.5
07/17/2017,A,12:43:00 PM,JV,F,J1,,,,,,,0.3,0.3,0.3,0,0.1
07/17/2017,A,01:07:00 AM,JV,M,J1,,,,,,,0.1,0.3,0.3,0,0.3
07/17/2017,A,01:27:00 AM,AM,M,,,,,,,,0,0.1,0.5,0,0.4
07/17/2017,A,01:43:00 AM,JV,F,J1,,,,,,,0.6,0.2,0,0,0.2
07/18/2017,A,09:25:00 AM,JV,F,J1,,,,,,,0.2,0.2,0.3,0,0.3
07/18/2017,A,09:36:00 AM,JV,F,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/18/2017,A,09:57:00 AM,JV,M,J1,,,,,,,0.2,0.4,0,0,0.4
07/18/2017,A,10:06:00 AM,JV,F,J1,,,,,,,0,0.375,0.5,0,0.125
07/18/2017,A,10:23:00 AM,JV,F,J1,,,,,,,0.5,0,0.167,0,0.333
07/18/2017,A,10:32:00 AM,JV,F,J1,,,,,,,0.111,0.333,0.111,0.222,0.222
07/18/2017,A,11:36:00 AM,JV,M,J1,,,,,,,0.111,0,0.333,0.111,0.444
07/18/2017,A,11:46:00 AM,JV,F,J1,,,,,,,0,0.167,0.167,0.333,0.333
07/18/2017,A,12:12:00 PM,JV,M,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/18/2017,A,12:19:00 PM,JV,M,J1,,,,,,,0.222,0.444,0.222,0.111,0
07/18/2017,A,12:28:00 PM,JV,F,J1,,,,,,,0.222,0.444,0,0,0.333
07/18/2017,A,12:37:00 PM,JV,F,J1,,,,,,,0,0,0.2,0.2,0.6
